SampleID,Date,day,Month,Depth,Week,Year,Latitude,Longitude,Mixed Layer Depth_1,Em-2d-1 (PAR),NAO,Chlorophyll A (ug/L),NO2 + NO3 (umol L-1),Salinity (PSU),Silicate (umol L-1),Temperature (C),Total Organic Carbon,Total Organic Nitrogen
2005_06_06,2005-06-06,16.21785249,June,Euphotic,24,Y_2005,50.25,4.216666667,13.5,33.284503,-0.13,1.43,0.55,35.05,5.49,13,293.09,35.95
2005_06_20,2005-06-20,16.41245268,June,Euphotic,26,Y_2005,50.25,4.216666667,5,34.02906,-1,0.64,0.39,34.82,4.23,13.73,297.01,39.86
2005_07_25,2005-07-25,15.6348527,July,Euphotic,31,Y_2005,50.25,4.216666667,9.5,56.063043,-0.08,2.97,0.11,35.15,0.78,14.79,297.88,38.87
2005_08_15,2005-08-15,14.5723291,August,Euphotic,34,Y_2005,50.25,4.216666667,11,45.733194,0.94,0.94,0.5,35.12,2,16.33,348.59,42.48
2005_09_19,2005-09-19,12.46419008,September,Euphotic,39,Y_2005,50.25,4.216666667,27.5,21.96395,0.5,1.56,0.89,35.24,1.25,16.48,228.34,35.26
2005_10_17,2005-10-17,10.72357969,October,Euphotic,43,Y_2005,50.25,4.216666667,31.5,11.550892,-0.45,0.73,3.05,35.31,4.65,15.22,123.15,20.31
2005_11_15,2005-11-15,9.078637661,November,Euphotic,47,Y_2005,50.25,4.216666667,7,5.838671,-1.01,1.32,9.71,34.73,5.29,13.35,142.04,18.7
2005_12_05,2005-12-05,8.281234715,December,Euphotic,50,Y_2005,50.25,4.216666667,9,6.442494,-0.81,0.73,6.05,34.79,4.33,11.74,230.97,23.33
2006_01_03,2006-01-03,8.146288357,January,Euphotic,1,Y_2006,50.25,4.216666667,30.5,3.609637,-0.1,1.59,7.38,35.13,4.32,10.61,273.87,31.89
2006_03_06,2006-03-06,11.21175343,March,Euphotic,10,Y_2006,50.25,4.216666667,14.5,12.734438,-1.24,2.19,6.98,35.04,3.44,7.54,171.65,22.12
2006_03_20,2006-03-20,12.09718509,March,Euphotic,12,Y_2006,50.25,4.216666667,31,16.389902,-1.12,0.98,5.8,35.14,3.07,7.42,130.56,17.01
2006_04_11,2006-04-11,13.4790662,April,Euphotic,15,Y_2006,50.25,4.216666667,6.5,39.176919,0.57,2.74,0.3,34.01,0.37,8.49,373.37,59.97
2006_05_04,2006-05-04,14.83282918,May,Euphotic,18,Y_2006,50.25,4.216666667,15,47.641342,-0.22,3.08,0.32,35.13,0.23,9.99,284.82,36.69
2006_06_06,2006-06-06,16.21785249,June,Euphotic,23,Y_2006,50.25,4.216666667,5.5,53.918564,-0.41,1.23,0.27,35.22,0.18,13.52,288.96,36.1
2006_06_27,2006-06-27,16.39593681,June,Euphotic,26,Y_2006,50.25,4.216666667,7,48.101456,0.83,0.9,0.43,35.13,0.29,14.79,173.14,27.72
2006_07_17,2006-07-17,15.95014789,July,Euphotic,29,Y_2006,50.25,4.216666667,8.5,53.642605,-2.47,1.05,0.16,35.35,0.52,17.74,216.46,33.32
2006_08_22,2006-08-22,14.17061644,August,Euphotic,34,Y_2006,50.25,4.216666667,19,30.370247,-1.02,1.98,0.54,35.25,2.91,15.93,271.21,39.45
2006_09_12,2006-09-12,12.89930221,September,Euphotic,37,Y_2006,50.25,4.216666667,11.5,19.907993,-1.97,2.38,0.2,35.34,2.45,17.23,456.44,58.71
2006_10_30,2006-10-30,9.946858613,October,Euphotic,44,Y_2006,50.25,4.216666667,8.5,11.156911,1.7,2.02,7.19,34.89,9.47,15.16,251.46,29.28
2006_12_12,2006-12-12,8.121257407,December,Euphotic,50,Y_2006,50.25,4.216666667,5.5,3.808281,3.08,0.6,5.2,34.38,4.57,11.55,144.53,14.69
2007_02_16,2007-02-16,10.10397979,February,Euphotic,7,Y_2007,50.25,4.216666667,26.5,10.235319,1.77,0.44,5.29,35.146,4.13,10.08,330.47,28.68
2007_03_07,2007-03-07,11.2746769,March,Euphotic,10,Y_2007,50.25,4.216666667,26,12.985913,0.42,1,7.41,35.146,5.47,10.27,348.89,40.93
2007_03_26,2007-03-26,12.47715847,March,Euphotic,13,Y_2007,50.25,4.216666667,30,22.348993,2.03,0.64,5.96,34.952,4.22,10.266,305.19,37.26
2007_04_23,2007-04-23,14.2051505,April,Euphotic,17,Y_2007,50.25,4.216666667,16,25.522752,-0.1,2.53,1.52,35.1831,1.66,11.8,278.01,42.5
2007_05_08,2007-05-08,15.04756971,May,Euphotic,19,Y_2007,50.25,4.216666667,26,28.733078,0.62,1.24,0.05,35.107,1.31,12.434,330.18,43.57
2007_06_04,2007-06-04,16.16676851,June,Euphotic,23,Y_2007,50.25,4.216666667,23,55.028612,-3.34,1.39,0.6,35.22,1.01,13.992,567.09,58.09
2007_06_25,2007-06-25,16.40851472,June,Euphotic,26,Y_2007,50.25,4.216666667,12,35.904417,-1.05,1.58,0.06,35.0447,0.32,15.1902,571.35,61.87
2007_07_30,2007-07-30,15.40807382,July,Euphotic,31,Y_2007,50.25,4.216666667,15.5,43.872697,-3.41,2.22,0.05,35.065,0.93,15.541,470.19,52.47
2007_08_20,2007-08-20,14.28699131,August,Euphotic,34,Y_2007,50.25,4.216666667,18.5,40.626693,-1.18,1.68,1.96,34.946,2.88,15.51,227.05,27.02
2007_09_29,2007-09-29,11.83963904,September,Euphotic,39,Y_2007,50.25,4.216666667,34,16.848049,-0.02,1.03,1.62,35.25,2.33,15.96,360.29,35.79
2007_10_25,2007-10-25,10.24065651,October,Euphotic,43,Y_2007,50.25,4.216666667,33,9.042507,-1.67,0.48,3.49,35.163,2.65,15.371,189.2,20.76
2007_12_12,2007-12-12,8.121257407,December,Euphotic,50,Y_2007,50.25,4.216666667,33.5,6.448464,1.42,0.46,7.98,35.3807,4.63,13.876,149.04,16.39
2008_02_20,2008-02-20,10.34442939,February,Euphotic,8,Y_2008,50.25,4.216666667,31,9.506805,1.77,0.65,7.13,35.1544,3.83,9.6667,270,36
2008_03_05,2008-03-05,11.21175343,March,Euphotic,10,Y_2008,50.25,4.216666667,22,12.982966,0.42,0.75,7.78,34.3075,4.85,9.4759,117,20
2008_03_17,2008-03-17,11.97039895,March,Euphotic,12,Y_2008,50.25,4.216666667,27.5,28.601888,2.03,0.97,6.7,35.082,4.38,9.4475,171,34
2008_04_21,2008-04-21,14.14597275,April,Euphotic,17,Y_2008,50.25,4.216666667,29,39.791348,-0.1,1.02,4.44,35.12,2.9,9.6972,278,38
2008_05_06,2008-05-06,14.99470374,May,Euphotic,19,Y_2008,50.25,4.216666667,15,48.801855,0.62,1.57,0.04,35,0.6,11.4888,306,37
2008_06_02,2008-06-02,16.13921856,June,Euphotic,23,Y_2008,50.25,4.216666667,8,43.031291,-3.34,0.62,0.005,34.7249,0.31,14.4819,194,37
2008_06_23,2008-06-23,16.41245414,June,Euphotic,26,Y_2008,50.25,4.216666667,21,36.919159,-1.05,1.89,0.02,34.8573,0.2,14.284,249.47,14.5
2008_07_21,2008-07-21,15.76052745,July,Euphotic,30,Y_2008,50.25,4.216666667,1.2,49.515686,-3.41,3.43,0.01,35.1257,0.1,14.809,262.83,18.62
2008_08_20,2008-08-20,14.22894878,August,Euphotic,34,Y_2008,50.25,4.216666667,13,43.581476,-1.18,2.23,0.1,34.361,0.15,15.3661,490.4,32.76
2008_09_22,2008-09-22,12.21455306,September,Euphotic,39,Y_2008,50.25,4.216666667,27,28.661873,-0.02,1.97,2.1,35.1918,3,14.6221,145.26,13.18
2008_10_27,2008-10-27,10.06346488,October,Euphotic,44,Y_2008,50.25,4.216666667,18.5,13.202397,-1.67,0.91,5.68,35.0179,4.03,14.312,290.32,29.1
2008_12_08,2008-12-08,8.180768472,December,Euphotic,50,Y_2008,50.25,4.216666667,30.5,6.550358,1.42,0.42,5.94,35.0404,5.64,11.222,498.86,39.64
