SampleID,locus_tag,lat,daylight,depth,temp,sal,O2_conc,O2_sat,chl_sens,AW_frac,PW_frac,NO3_NO2,PO4,NO2,SiO4,iceConc,iceDist,icePast,iceDistPast,MLD,sample_title,mooring_full,mooring,year,month,month_full,lon,date
10_2017_HG,16S,79.02,0,31.01,5.13,34.96,301.15,95.57,0.09,0.81,0.19,NA,NA,NA,NA,0,118.92,0,109.93,32.69,RAS_HG_10_1718,HG-IV-S-2,HG-IV,2017-18,Oct,17-Oct,4.26,2017-10-29
11_2017_HG,16S,79.02,0,30.12,0.28,34.32,342.75,96.01,0.02,0.13,0.87,NA,NA,NA,NA,0,115.22,0,120.6,12.66,RAS_HG_11_1718,HG-IV-S-2,HG-IV,2017-18,Nov,17-Nov,4.26,2017-11-28
12_2017_HG,16S,79.02,0,31.87,4.08,35.03,307.87,95.34,0,0.91,0.09,NA,NA,NA,NA,0,130.48,0,120.73,269.23,RAS_HG_12_1718,HG-IV-S-2,HG-IV,2017-18,Dec,17-Dec,4.26,2017-12-28
01_2018_HG,16S,79.02,0,31.86,2.36,34.87,316.21,93.77,0,0.75,0.25,NA,NA,NA,NA,0,108.44,0,124.5,17.57,RAS_HG_01_1718,HG-IV-S-2,HG-IV,2017-18,Jan,18-Jan,4.26,2018-01-27
02_2018_HG_1,16S,79.02,0,30.31,3.5,35.05,311.55,95.17,-0.01,0.96,0.04,NA,NA,NA,NA,0,105.41,0,101.06,277.54,RAS_HG_02_1718_1,HG-IV-S-2,HG-IV,2017-18,Feb,18-Feb,4.26,2018-02-11
02_2018_HG_2,16S,79.02,4.23,106.78,3.66,35.06,314.31,96.37,-0.01,0.96,0.04,NA,NA,NA,NA,0,119.54,0,117.46,149.37,RAS_HG_02_1718_2,HG-IV-S-2,HG-IV,2017-18,Feb,18-Feb,4.26,2018-02-26
03_2018_HG_1,16S,79.02,7.67,29.23,3.34,35.04,317.23,96.5,-0.01,0.94,0.06,NA,NA,NA,NA,0,68.05,0,77.24,267.17,RAS_HG_03_1718_1,HG-IV-S-2,HG-IV,2017-18,Mar,18-Mar,4.26,2018-03-07
03_2018_HG_2,16S,79.02,10.32,34.74,1.31,34.68,329.43,95.01,0,0.55,0.45,NA,NA,NA,NA,0,54.14,0,48.12,22.89,RAS_HG_03_1718_2,HG-IV-S-2,HG-IV,2017-18,Mar,18-Mar,4.26,2018-03-16
03_2018_HG_3,16S,79.02,12.79,32.27,2.79,34.98,320.35,96.11,-0.01,0.88,0.12,NA,NA,NA,NA,0,104.21,0,99.45,278.74,RAS_HG_03_1718_3,HG-IV-S-2,HG-IV,2017-18,Mar,18-Mar,4.26,2018-03-25
04_2018_HG_1,16S,79.02,15.32,29.35,3,35.04,318.56,96.1,-0.01,0.96,0.04,NA,NA,NA,NA,0,88.65,0,84.46,269.37,RAS_HG_04_1718_1,HG-IV-S-2,HG-IV,2017-18,Apr,18-Apr,4.26,2018-04-03
04_2018_HG_2,16S,79.02,18.26,33.68,2.41,34.98,321.81,95.63,0.07,0.9,0.1,NA,NA,NA,NA,0,76.67,0,74.53,267.7,RAS_HG_04_1718_2,HG-IV-S-2,HG-IV,2017-18,Apr,18-Apr,4.26,2018-04-12
04_2018_HG_3,16S,79.02,24,53.08,2.74,35.01,321.64,96.39,0.21,0.93,0.07,NA,NA,NA,NA,0,69.55,0,67.35,305.5,RAS_HG_04_1718_3,HG-IV-S-2,HG-IV,2017-18,Apr,18-Apr,4.26,2018-04-21
04_2018_HG_4,16S,79.02,24,113.84,2.88,35.02,321.13,96.57,0.15,0.95,0.05,NA,NA,NA,NA,0,46.6,0,61.35,334.22,RAS_HG_04_1718_4,HG-IV-S-2,HG-IV,2017-18,Apr,18-Apr,4.26,2018-04-30
05_2018_HG_1,16S,79.02,24,30.6,1.78,34.74,385.25,112.51,14.78,0.61,0.39,NA,NA,NA,NA,0,129.45,0,112.9,0,RAS_HG_05_1718_1,HG-IV-S-2,HG-IV,2017-18,May,18-May,4.26,2018-05-12
05_2018_HG_2,16S,79.02,24,28.94,3.14,34.94,350.7,106.09,7.48,0.83,0.17,NA,NA,NA,NA,0,126.19,0,113.24,0,RAS_HG_05_1718_2,HG-IV-S-2,HG-IV,2017-18,May,18-May,4.26,2018-05-24
06_2018_HG_1,16S,79.02,24,33.66,3.65,34.94,376.5,115.3,12.28,0.81,0.19,NA,NA,NA,NA,0,130.48,0,98.54,0,RAS_HG_06_1718_1,HG-IV-S-2,HG-IV,2017-18,Jun,18-Jun,4.26,2018-06-05
06_2018_HG_2,16S,79.02,24,29.82,3.14,34.94,351.51,106.34,2.28,0.82,0.18,NA,NA,NA,NA,0,120.56,0,113.67,0,RAS_HG_06_1718_2,HG-IV-S-2,HG-IV,2017-18,Jun,18-Jun,4.26,2018-06-17
06_2018_HG_3,16S,79.02,24,29.37,4.2,34.97,350,108.67,3.65,0.84,0.16,NA,NA,NA,NA,0,71.47,0,93.17,0,RAS_HG_06_1718_3,HG-IV-S-2,HG-IV,2017-18,Jun,18-Jun,4.26,2018-06-29
07_2018_HG,16S,79.02,24,41.98,4.49,35.04,323.66,101.22,1.3,0.91,0.09,NA,NA,NA,NA,0,54.51,0,60.88,0,RAS_HG_07_1718,HG-IV-S-2,HG-IV,2017-18,Jul,18-Jul,4.26,2018-07-08
