sample_id,depth,year,month,day,replicate
SPOT-5m-2012-09-28-a,5m,2012,9,28,a
SPOT-5m-2012-10-17-a,5m,2012,10,17,a
SPOT-5m-2012-11-28-a,5m,2012,11,28,a
SPOT-5m-2013-01-16-a,5m,2013,1,16,a
SPOT-5m-2013-02-13-a,5m,2013,2,13,a
SPOT-5m-2013-03-13-a,5m,2013,3,13,a
SPOT-5m-2013-04-24-a,5m,2013,4,24,a
SPOT-5m-2013-06-19-a,5m,2013,6,19,a
SPOT-5m-2013-08-14-a,5m,2013,8,14,a
SPOT-5m-2013-09-18-a,5m,2013,9,18,a
SPOT-5m-2013-10-15-a,5m,2013,10,15,a
SPOT-5m-2013-11-13-a,5m,2013,11,13,a
SPOT-5m-2013-12-19-a,5m,2013,12,19,a
SPOT-5m-2013-12-23-a,5m,2013,12,23,a
SPOT-5m-2014-01-15-a,5m,2014,1,15,a
SPOT-5m-2014-01-15-b,5m,2014,1,15,b
SPOT-5m-2014-01-15-c,5m,2014,1,15,c
SPOT-5m-2014-01-15-d,5m,2014,1,15,d
SPOT-5m-2014-01-15-e,5m,2014,1,15,e
SPOT-5m-2014-01-15-f,5m,2014,1,15,f
SPOT-5m-2014-02-12-a,5m,2014,2,12,a
SPOT-5m-2014-03-13-a,5m,2014,3,13,a
SPOT-5m-2014-04-10-a,5m,2014,4,10,a
SPOT-5m-2014-05-21-a,5m,2014,5,21,a
SPOT-5m-2014-06-18-a,5m,2014,6,18,a
SPOT-5m-2014-07-17-a,5m,2014,7,17,a
SPOT-5m-2014-08-13-a,5m,2014,8,13,a
SPOT-5m-2014-09-10-a,5m,2014,9,10,a
SPOT-5m-2014-10-1-a,5m,2014,10,1,a
SPOT-5m-2014-11-12-a,5m,2014,11,12,a
SPOT-5m-2014-12-8-a,5m,2014,12,8,a
SPOT-5m-2015-01-15-a,5m,2015,1,15,a
SPOT-5m-2015-02-18-a,5m,2015,2,18,a
SPOT-5m-2015-02-18-b,5m,2015,2,18,b
SPOT-5m-2015-02-18-c,5m,2015,2,18,c
SPOT-5m-2015-02-18-d,5m,2015,2,18,d
SPOT-5m-2015-02-18-e,5m,2015,2,18,e
SPOT-5m-2015-02-18-f,5m,2015,2,18,f
SPOT-5m-2015-03-12-a,5m,2015,3,12,a
SPOT-5m-2015-04-22-a,5m,2015,4,22,a
SPOT-5m-2015-05-20-a,5m,2015,5,20,a
SPOT-5m-2015-05-20-b,5m,2015,5,20,b
SPOT-5m-2015-05-20-c,5m,2015,5,20,c
SPOT-5m-2015-05-20-d,5m,2015,5,20,d
SPOT-5m-2015-05-20-e,5m,2015,5,20,e
SPOT-5m-2015-05-20-f,5m,2015,5,20,f
SPOT-5m-2015-07-14-a,5m,2015,7,14,a
SPOT-5m-2015-08-5-a,5m,2015,8,5,a
SPOT-5m-2015-09-9-a,5m,2015,9,9,a
SPOT-5m-2015-10-20-a,5m,2015,10,20,a
SPOT-5m-2015-10-7-a,5m,2015,10,7,a
SPOT-5m-2015-11-18-a,5m,2015,11,18,a
SPOT-5m-2015-12-18-a,5m,2015,12,18,a
SPOT-5m-2016-01-19-a,5m,2016,1,19,a
SPOT-5m-2016-02-17-a,5m,2016,2,17,a
SPOT-5m-2016-03-16-a,5m,2016,3,16,a
SPOT-5m-2016-04-13-a,5m,2016,4,13,a
SPOT-5m-2016-05-18-a,5m,2016,5,18,a
SPOT-5m-2016-06-15-a,5m,2016,6,15,a
SPOT-5m-2016-07-12-a,5m,2016,7,12,a
SPOT-5m-2016-08-10-a,5m,2016,8,10,a
SPOT-5m-2016-12-14-a,5m,2016,12,14,a
SPOT-5m-2017-01-31-a,5m,2017,1,31,a
SPOT-5m-2017-02-15-a,5m,2017,2,15,a
SPOT-5m-2017-03-15-a,5m,2017,3,15,a
SPOT-5m-2017-04-12-a,5m,2017,4,12,a
SPOT-5m-2017-05-24-a,5m,2017,5,24,a
SPOT-5m-2017-06-14-a,5m,2017,6,14,a
SPOT-5m-2017-07-11-a,5m,2017,7,11,a
SPOT-5m-2017-08-8-a,5m,2017,8,8,a
SPOT-5m-2017-09-25-a,5m,2017,9,25,a
SPOT-5m-2017-10-11-a,5m,2017,10,11,a
SPOT-5m-2017-12-13-a,5m,2017,12,13,a
SPOT-5m-2018-01-17-a,5m,2018,1,17,a
SPOT-5m-2018-02-14-a,5m,2018,2,14,a
SPOT-5m-2018-03-14-a,5m,2018,3,14,a
SPOT-5m-2018-04-18-a,5m,2018,4,18,a
SPOT-5m-2018-05-16-a,5m,2018,5,16,a
SPOT-5m-2018-06-13-a,5m,2018,6,13,a
SPOT-5m-2018-07-18-a,5m,2018,7,18,a
